Gamma,Lambda,Accuracy
2.947e-05,2.33e-06,22.66187050359712
2.947e-05,3.09e-06,17.26618705035971
2.947e-05,4.09e-06,20.14388489208633
2.947e-05,5.43e-06,68.70503597122301
2.947e-05,7.2e-06,70.86330935251799
2.947e-05,9.54e-06,69.42446043165468
2.947e-05,1.265e-05,76.97841726618705
2.947e-05,1.677e-05,77.33812949640287
2.947e-05,2.223e-05,80.93525179856115
2.947e-05,2.947e-05,83.09352517985612
2.947e-05,3.907e-05,80.2158273381295
2.947e-05,5.179e-05,85.61151079136691
2.947e-05,6.866e-05,84.89208633093526
2.947e-05,9.103e-05,84.53237410071942
2.947e-05,0.00012068,84.89208633093526
2.947e-05,0.00015999,83.81294964028777
2.947e-05,0.0002121,84.17266187050359
2.947e-05,0.00028118,83.45323741007195
2.947e-05,0.00037276,81.29496402877699
2.947e-05,0.00049417,80.2158273381295
2.947e-05,0.00065513,77.6978417266187
2.947e-05,0.00086851,78.41726618705036
2.947e-05,0.0011514,76.97841726618705
2.947e-05,0.00152642,76.61870503597122
2.947e-05,0.00202359,75.53956834532374
2.947e-05,0.0026827,76.2589928057554
2.947e-05,0.00355648,75.53956834532374
2.947e-05,0.00471487,74.46043165467626
2.947e-05,0.00625055,72.3021582733813
2.947e-05,0.00828643,71.58273381294964
2.947e-05,0.01098541,70.14388489208633
2.947e-05,0.01456348,69.06474820143885
2.947e-05,0.01930698,68.70503597122301
2.947e-05,0.02559548,67.26618705035972
2.947e-05,0.03393222,64.74820143884892
2.947e-05,0.04498433,63.66906474820144
2.947e-05,0.05963623,61.15107913669065
2.947e-05,0.07906043,59.71223021582733
2.947e-05,0.10481131,58.63309352517986
2.947e-05,0.13894955,57.55395683453237
2.947e-05,0.184207,54.67625899280576
2.947e-05,0.24420531,53.597122302158276
2.947e-05,0.32374575,51.438848920863315
2.947e-05,0.42919343,50.35971223021583
2.947e-05,0.5689866,49.280575539568346
2.947e-05,0.75431201,47.84172661870504
2.947e-05,1.0,46.76258992805755
3.907e-05,1e-06,17.62589928057554
3.907e-05,1.33e-06,18.705035971223023
3.907e-05,1.76e-06,18.345323741007196
3.907e-05,2.33e-06,17.985611510791365
3.907e-05,3.09e-06,21.58273381294964
3.907e-05,4.09e-06,33.45323741007194
3.907e-05,5.43e-06,72.3021582733813
3.907e-05,7.2e-06,63.30935251798561
3.907e-05,9.54e-06,76.97841726618705
3.907e-05,1.265e-05,75.17985611510791
