Gamma,Lambda,Accuracy
4.09e-06,0.10481131,100.0
4.09e-06,0.13894955,100.0
4.09e-06,0.184207,100.0
4.09e-06,0.24420531,100.0
4.09e-06,0.32374575,100.0
4.09e-06,0.42919343,100.0
4.09e-06,0.5689866,100.0
4.09e-06,0.75431201,100.0
4.09e-06,1.0,100.0
5.43e-06,1e-06,92.3913043478261
5.43e-06,1.33e-06,92.7536231884058
5.43e-06,1.76e-06,92.3913043478261
5.43e-06,2.33e-06,92.66304347826086
5.43e-06,3.09e-06,92.3913043478261
5.43e-06,4.09e-06,92.66304347826086
5.43e-06,5.43e-06,92.93478260869566
5.43e-06,7.2e-06,93.02536231884058
5.43e-06,9.54e-06,93.65942028985508
5.43e-06,1.265e-05,93.93115942028986
5.43e-06,1.677e-05,94.38405797101449
5.43e-06,2.223e-05,94.29347826086956
5.43e-06,2.947e-05,94.83695652173914
5.43e-06,3.907e-05,95.19927536231883
5.43e-06,5.179e-05,95.83333333333334
5.43e-06,6.866e-05,96.37681159420289
5.43e-06,9.103e-05,96.73913043478261
5.43e-06,0.00012068,97.55434782608695
5.43e-06,0.00015999,98.18840579710145
5.43e-06,0.0002121,98.46014492753623
5.43e-06,0.00028118,98.73188405797102
5.43e-06,0.00037276,99.09420289855072
5.43e-06,0.00049417,99.27536231884058
5.43e-06,0.00065513,99.72826086956522
5.43e-06,0.00086851,99.72826086956522
5.43e-06,0.0011514,99.72826086956522
5.43e-06,0.00152642,99.81884057971014
5.43e-06,0.00202359,99.90942028985508
5.43e-06,0.0026827,99.90942028985508
5.43e-06,0.00355648,99.90942028985508
5.43e-06,0.00471487,100.0
5.43e-06,0.00625055,100.0
5.43e-06,0.00828643,100.0
5.43e-06,0.01098541,100.0
5.43e-06,0.01456348,100.0
5.43e-06,0.01930698,100.0
5.43e-06,0.02559548,100.0
5.43e-06,0.03393222,100.0
5.43e-06,0.04498433,100.0
5.43e-06,0.05963623,100.0
5.43e-06,0.07906043,100.0
5.43e-06,0.10481131,100.0
5.43e-06,0.13894955,100.0
5.43e-06,0.184207,100.0
5.43e-06,0.24420531,100.0
5.43e-06,0.32374575,100.0
5.43e-06,0.42919343,100.0
5.43e-06,0.5689866,100.0
5.43e-06,0.75431201,100.0
5.43e-06,1.0,100.0
7.2e-06,1e-06,94.38405797101449
7.2e-06,1.33e-06,94.38405797101449
7.2e-06,1.76e-06,94.20289855072464
7.2e-06,2.33e-06,94.38405797101449
7.2e-06,3.09e-06,94.47463768115942
7.2e-06,4.09e-06,94.29347826086956
7.2e-06,5.43e-06,94.56521739130434
7.2e-06,7.2e-06,94.38405797101449
7.2e-06,9.54e-06,94.56521739130434
7.2e-06,1.265e-05,94.7463768115942
7.2e-06,1.677e-05,95.1086956521739
7.2e-06,2.223e-05,95.28985507246377
7.2e-06,2.947e-05,95.83333333333334
7.2e-06,3.907e-05,96.01449275362319
7.2e-06,5.179e-05,96.46739130434783
7.2e-06,6.866e-05,96.82971014492753
7.2e-06,9.103e-05,97.19202898550725
7.2e-06,0.00012068,97.64492753623189
7.2e-06,0.00015999,98.27898550724638
7.2e-06,0.0002121,98.46014492753623
7.2e-06,0.00028118,98.73188405797102
7.2e-06,0.00037276,98.91304347826086
7.2e-06,0.00049417,99.18478260869566
7.2e-06,0.00065513,99.54710144927536
7.2e-06,0.00086851,99.72826086956522
7.2e-06,0.0011514,99.72826086956522
7.2e-06,0.00152642,99.72826086956522
7.2e-06,0.00202359,99.81884057971014
7.2e-06,0.0026827,99.90942028985508
7.2e-06,0.00355648,99.90942028985508
7.2e-06,0.00471487,99.90942028985508
7.2e-06,0.00625055,100.0
7.2e-06,0.00828643,100.0
7.2e-06,0.01098541,100.0
7.2e-06,0.01456348,100.0
7.2e-06,0.01930698,100.0
7.2e-06,0.02559548,100.0
7.2e-06,0.03393222,100.0
7.2e-06,0.04498433,100.0
7.2e-06,0.05963623,100.0
7.2e-06,0.07906043,100.0
7.2e-06,0.10481131,100.0
7.2e-06,0.13894955,100.0
7.2e-06,0.184207,100.0
7.2e-06,0.24420531,100.0
7.2e-06,0.32374575,100.0
7.2e-06,0.42919343,100.0
7.2e-06,0.5689866,100.0
7.2e-06,0.75431201,100.0
7.2e-06,1.0,100.0
9.54e-06,1e-06,95.92391304347827
9.54e-06,1.33e-06,95.83333333333334
9.54e-06,1.76e-06,95.83333333333334
